repository	old_ref	old_tip	old_tree	stable_id	old_path	old_blob	old_bytes	final_path	disposition	review_mode	final_source_basis	final_source_tree	reason	reviewer	reviewed_at
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	active-index	docs/README.md	ffeed476428166fa51cc02e96d1ddc62d3b42f55	1088	docs/README.md	replaced	direct-content	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	conflicting-active-index-v1.0.1-selected-and-normalized-to-learning-current	/root/delivery_learning_matrix	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	000	docs/commits-source-split-v1/000.md	f9cca649b9a6ac5e1dd4c076b854d42406e5938a	6141	docs/commits/000.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	001	docs/commits-source-split-v1/001.md	8f0d7e24cdf642fa0b1ec0b1b37e9a13ad591aa7	5205	docs/commits/001.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	002	docs/commits-source-split-v1/002.md	48a36f67fdc517a8994961f2fb0955c97a57792f	8310	docs/commits/002.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	003	docs/commits-source-split-v1/003.md	8301af602356301e18786477a23d89482dfbde8c	4165	docs/commits/003.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	004	docs/commits-source-split-v1/004.md	319220cda1c24e16907ae2d67275fda04692f219	3825	docs/commits/004.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	005	docs/commits-source-split-v1/005.md	7230e32cc01b13302e2bb3e9fb71b3be316dbe2c	4962	docs/commits/005.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	006	docs/commits-source-split-v1/006.md	7527a18ae13569c0cdcc05b86a0794e6b4aad0a0	3446	docs/commits/006.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	007	docs/commits-source-split-v1/007.md	264741eae2269feda17ae5e27bb10509a8e1cdab	4053	docs/commits/007.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	008	docs/commits-source-split-v1/008.md	b35a216efc4598222c87895f22d94a2537e5f758	2938	docs/commits/008.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	011	docs/commits-source-split-v1/011.md	8a14da3c7b8f4714cacff8c2228f19536a6f7e48	4595	docs/commits/011.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	answer-index	docs/commits-source-split-v1/README.md	2f3432dd2fe97bacf57e9da9320a89fd2c01d8f0	6805	docs/commits/README.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	000	docs/commits/000.md	50655087a2456a67bd1e548fa77f07eca408b2b0	765	docs/commits/000.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	001	docs/commits/001.md	9bff1133c7a78331a03b9b2515d48adc4379bbbc	652	docs/commits/001.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	002	docs/commits/002.md	fbfa5694ed36fc3237cc32802752a46324401493	680	docs/commits/002.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	003	docs/commits/003.md	55706349f7fe5efc81dccbe64456126b30230a4d	531	docs/commits/003.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	004	docs/commits/004.md	432caf0b9f5655d89b53a0774b0dcf9f4d4697bb	455	docs/commits/004.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
backend-delivery-training	learning/delivery-v1	bf1a84e6eecd4544676a71ea7143b01a01b18a4d	02eb4ab1036663c14a967d7c11238247decbb81b	005	docs/commits/005.md	d845617c7f81019c50fcc021475afb76b8c63097	573	docs/commits/005.md	replaced	oid-identical	fc9e1d3dc36415b4d6e7287d3738b4c1c9136364	be1fda88eb5fed37e9fd941bb13204f76cc78121	duplicate-of-canonical-v1.0.1-same-path-and-blob;final-disposition-in-canonical-row	mechanical-crosswalk	2026-07-21T00:49:45+09:00
