repository	old_ref	old_tip	old_tree	old_path	old_blob	old_bytes	final_path	final_blob	disposition	review_mode	final_source_basis	reason	reviewer	reviewed_at
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits-codex-5.6/104.md	aed855e8a27979cb610786e9b394d589c50dba60	5760	docs/commits/105.md	0a275617eb5a88be2e5ab8495d772a39113ca135	replaced	direct-content	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	stable-id-remap	repository-owner	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits-codex-5.6/107.md	ce5376290deb35fc26a90c5bca94583d99bd1c62	8949	docs/commits/106.md	a8c8c63d5dc4b9548b3f23228521dc3eef5a12f3	replaced	direct-content	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	stable-id-remap	repository-owner	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits-codex-5.6/README.md	b8d3ff161955b90e996f682eb256fa36b58426ef	16750	docs/commits/README.md	75bd0ba36f76e42c8cfa6d5aff970134bbcf1ed8	replaced	direct-content	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	full-ledger-replacement	repository-owner	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits-foundations-v1.0.1/108.md	3d4bfa6dd98c90e117b5e36c64e619e717e2a1f2	750	-	-	discarded	direct-content	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	reserved-navigation-only	repository-owner	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits-foundations-v1.0.1/README.md	932f6f2b98a666722fa45a8fa0907059e8695fd5	1107	docs/commits/README.md	75bd0ba36f76e42c8cfa6d5aff970134bbcf1ed8	replaced	direct-content	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	full-ledger-replacement	repository-owner	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits/000.md	4c13b0d0cb3d279d8ed2f74c627284d831b2c316	10557	docs/commits/000.md	4c13b0d0cb3d279d8ed2f74c627284d831b2c316	adopted	oid-identical	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	exact-final-crosswalk	mechanical-crosswalk	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits/001.md	d84cf931b3cad9dc2fffeb6088379f8eb1da1209	11517	docs/commits/001.md	d84cf931b3cad9dc2fffeb6088379f8eb1da1209	adopted	oid-identical	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	exact-final-crosswalk	mechanical-crosswalk	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits/002.md	a87c3c933aa7b58d691c772a9a6a97b4c66edf85	8313	docs/commits/002.md	a87c3c933aa7b58d691c772a9a6a97b4c66edf85	adopted	oid-identical	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	exact-final-crosswalk	mechanical-crosswalk	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits/003.md	92e1ca29c739a4413c03af81d76e96d99cfeca2b	6882	docs/commits/003.md	92e1ca29c739a4413c03af81d76e96d99cfeca2b	adopted	oid-identical	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	exact-final-crosswalk	mechanical-crosswalk	2026-07-19T21:31:20+09:00
frontend-foundations-training	learning/foundations-v1.0.1	fdffc0e6842df7d44701bb2569806f72e5c72d67	11814eafe1f7ba2859940a479dc1df67930977e6	docs/commits/004.md	d7498151a6ba9802fca6808b62a795f2e14c5e2d	11935	docs/commits/004.md	d7498151a6ba9802fca6808b62a795f2e14c5e2d	adopted	oid-identical	cfa232f03aab569d7ebb6c8ed1f1a7ac1dc2464c	exact-final-crosswalk	mechanical-crosswalk	2026-07-19T21:31:20+09:00
